"original_release_group","retained","fitted_release_group"
1,TRUE,1
2,TRUE,2
3,TRUE,3
4,TRUE,4
5,TRUE,5
6,TRUE,6
7,TRUE,7
8,TRUE,8
9,TRUE,9
10,TRUE,10
11,TRUE,11
12,TRUE,12
13,TRUE,13
14,TRUE,14
15,TRUE,15
16,TRUE,16
17,TRUE,17
18,TRUE,18
19,TRUE,19
20,TRUE,20
21,TRUE,21
22,TRUE,22
23,TRUE,23
24,TRUE,24
25,TRUE,25
26,TRUE,26
27,TRUE,27
28,TRUE,28
29,TRUE,29
30,TRUE,30
31,TRUE,31
32,TRUE,32
33,TRUE,33
34,TRUE,34
35,TRUE,35
36,TRUE,36
37,TRUE,37
38,TRUE,38
39,TRUE,39
40,TRUE,40
41,TRUE,41
42,TRUE,42
43,TRUE,43
44,TRUE,44
45,TRUE,45
46,TRUE,46
47,TRUE,47
48,TRUE,48
49,TRUE,49
50,TRUE,50
51,TRUE,51
52,TRUE,52
53,TRUE,53
54,TRUE,54
55,TRUE,55
56,TRUE,56
57,TRUE,57
58,TRUE,58
59,TRUE,59
60,TRUE,60
61,TRUE,61
62,TRUE,62
63,TRUE,63
64,TRUE,64
65,TRUE,65
66,TRUE,66
67,TRUE,67
68,TRUE,68
69,TRUE,69
70,TRUE,70
71,TRUE,71
72,TRUE,72
73,TRUE,73
74,TRUE,74
75,TRUE,75
76,TRUE,76
77,TRUE,77
78,TRUE,78
79,TRUE,79
80,TRUE,80
81,TRUE,81
82,TRUE,82
83,TRUE,83
84,TRUE,84
85,TRUE,85
86,TRUE,86
87,TRUE,87
88,TRUE,88
89,TRUE,89
90,TRUE,90
91,TRUE,91
92,TRUE,92
93,TRUE,93
94,TRUE,94
95,TRUE,95
96,TRUE,96
97,TRUE,97
98,TRUE,98
